TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2614,0.135317,0.0118441,-0.00976801,0.0115018,0.0155565,0.190831,0.170677,0.134252,-0.051631,0.0812641
2622,0.135317,0.011844,-0.00976801,0.0115018,0.0169704,-0.098819,0.165052,0.0658403,-0.0123161,0.024934
2630,0.135317,0.011844,-0.00976801,0.0115018,0.0155974,-0.238436,0.162142,-0.0102872,0.0044202,-0.0102198
2638,0.135317,0.011844,-0.00976801,0.0115018,0.0136637,-0.310249,0.13941,0.00462938,0.0245155,-0.0270459
2646,0.135317,0.011844,-0.00976801,0.0115018,0.0117212,-0.143318,0.144933,-0.00154317,-0.00232494,-0.00117873
2653,0.135317,0.011844,-0.00976801,0.0115018,0.0109638,0.0465359,0.147625,0.063783,-0.0257545,0.0382411
2662,0.135317,0.011844,-0.00976801,0.0115018,0.0113701,0.210417,0.153686,0.0596675,-0.0551737,0.0671984
2670,0.135317,0.011844,-0.00976801,0.0115018,0.0129805,0.290086,0.183884,0.00308653,-0.0822471,0.0811885
2678,0.135317,0.011844,-0.00976801,0.0115018,0.0152304,0.0476043,0.167379,0.056067,-0.0359174,0.0466519
2686,0.135317,0.011844,-0.00976801,0.0115018,0.0151045,-0.112004,0.170423,0.0565814,-0.0094905,0.0198553
2694,0.135317,0.011844,-0.00976801,0.0115018,0.0139184,-0.252159,0.16121,0.00462931,0.0109411,-0.0132872
2702,0.135317,0.011844,-0.00976801,0.0115018,0.0119032,-0.270682,0.14405,-0.00462938,0.0184943,-0.0231144
2710,0.135317,0.011844,-0.00976801,0.0115018,0.00995827,-0.0637812,0.152281,0.0339488,-0.0101881,0.0152801
2718,0.135317,0.011844,-0.00976801,0.0115018,0.00944802,0.121548,0.155974,0.0545237,-0.0386364,0.049146
2725,0.135317,0.011844,-0.00976801,0.0115018,0.0106019,0.268907,0.172288,0.0786995,-0.0646444,0.0813311
2734,0.135317,0.011844,-0.00976801,0.0115018,0.0126709,0.255981,0.192926,0.0390926,-0.0733319,0.0806636
2742,0.135317,0.011844,-0.00976801,0.0115018,0.0133628,-0.0841642,0.178641,0.0195463,-0.017426,0.0191097
2750,0.135317,0.011844,-0.00976801,0.0115018,0.0119772,-0.196068,0.184384,0.0714981,0.00839176,0.00519093
2758,0.135317,0.011844,-0.00976801,0.0115018,0.0105587,-0.294392,0.157579,-0.00822959,0.0217122,-0.0272734
2766,0.135238,0.0118754,-0.00976801,0.0115018,0.00880644,-0.16903,0.157431,0.0370351,0.00856744,-0.00308665
2774,0.135238,0.0118854,-0.00976801,0.0115018,0.00767323,0.0200218,0.151903,-0.0339489,-0.0289234,0.0182116
2782,0.135238,0.0118897,-0.00976801,0.0115018,0.00847997,0.230535,0.16938,0.0612103,-0.0568177,0.0692259
2790,0.135238,0.0118915,-0.00976801,0.0115018,0.0103816,0.284228,0.189216,0.102361,-0.0667617,0.0890779
2797,0.135238,0.0118923,-0.00976801,0.0115018,0.0118678,0.131141,0.186152,0.0133741,-0.0532187,0.0540836
2806,0.135238,0.0118927,-0.00732601,0.0115018,0.0118658,-0.0825641,0.188121,0.0545237,-0.0125742,0.0224964
2814,0.135238,0.0118928,-0.00732601,0.0115018,0.0110764,-0.248029,0.170874,-0.0149166,0.0107668,-0.0177557
2822,0.135317,0.0118614,-0.00732601,0.0115018,0.00909006,-0.273611,0.159782,0.0406357,0.0260868,-0.0200727
2830,0.135317,0.0118515,-0.00732601,0.0115018,0.0072876,-0.115341,0.158033,-0.0699548,-0.0106443,-0.00898599
2838,0.135317,0.0118472,-0.00732601,0.0115018,0.00686739,0.132071,0.164645,-0.022118,-0.0468598,0.0392739
2846,0.135317,0.0118453,-0.00732601,0.0115018,0.00802133,0.287427,0.177617,0.0853868,-0.0638511,0.0821348
2854,0.135317,0.0118446,-0.00976801,0.0115018,0.0100652,0.299548,0.197223,0.0627536,-0.0749196,0.0879312
2862,0.135317,0.0118442,-0.00976801,0.0115018,0.011707,0.057726,0.19652,0.05761,-0.037254,0.0483343
2869,0.135317,0.0118441,-0.00976801,0.0115018,0.0114466,-0.123328,0.194529,-0.0154309,-0.0149117,0.00819271
2878,0.135317,0.011844,-0.00976801,0.0115018,0.0101837,-0.277738,0.174161,0.00051465,0.0178056,-0.0212556
2886,0.135317,0.011844,-0.00976801,0.0115018,0.008033,-0.222319,0.165398,-0.0231472,0.0101352,-0.0190332
2894,0.135317,0.011844,-0.00976801,0.0115018,0.00644701,-0.0359355,0.165245,-0.0077154,-0.01699,0.0122823
2902,0.135317,0.011844,-0.00976801,0.0115018,0.00625206,0.184567,0.173893,-0.0169744,-0.056067,0.0498482
2910,0.135238,0.0118754,-0.00732601,0.0115018,0.00777451,0.324466,0.191248,0.0961877,-0.0705698,0.0915135
2918,0.135238,0.0118854,-0.00732601,0.0115018,0.010095,0.221873,0.197982,0.0570956,-0.0623047,0.0737421
2926,0.135317,0.0118582,-0.00976801,0.0115018,0.0110922,0.0181566,0.203521,-0.0205748,-0.0401097,0.032606
2934,0.135317,0.0118501,-0.00976801,0.0115018,0.0101624,-0.220453,0.186286,-0.00977324,0.00510188,-0.0108036
2941,0.135317,0.0118466,-0.00976801,0.0115018,0.008365,-0.273342,0.175681,-0.0442365,0.014069,-0.0280953
2950,0.135238,0.0118765,-0.00732601,0.0115018,0.00640632,-0.183019,0.166792,0.0144025,0.0104405,-0.0103797
2958,0.135238,0.0118859,-0.00732601,0.0115018,0.00507341,0.0970274,0.175518,-0.0385783,-0.0421578,0.0305529
2966,0.135238,0.0118899,-0.00976801,0.0115018,0.00676159,0.251587,0.182041,0.0252042,-0.0642444,0.0681942
2974,0.135238,0.0118916,-0.00976801,0.0115018,0.00870394,0.328461,0.202356,0.0185175,-0.0838323,0.0864707
2982,0.135238,0.0118924,-0.00976801,0.0115018,0.0108406,0.131405,0.207303,0.101846,-0.0448267,0.0665616
2990,0.135238,0.0118927,-0.00976801,0.0115018,0.0111391,-0.0932218,0.204431,0.0113166,-0.0179003,0.0175827
2998,0.135238,0.0118928,-0.00976801,0.0115018,0.0102582,-0.226311,0.196933,-0.0401213,0.00070697,-0.0135875
3006,0.135238,0.0118929,-0.00976801,0.0115018,0.00855814,-0.251626,0.181242,-0.0231464,0.0118131,-0.0207918
3013,0.135238,0.0118929,-0.00976801,0.0115018,0.00668091,-0.114673,0.181807,-0.0169743,-0.00784723,0.00071738
3022,0.135238,0.0118929,-0.00976801,0.0115018,0.00590537,0.106757,0.182234,0.0092587,-0.0407619,0.0404912
3030,0.135238,0.0118929,-0.00976801,0.0115018,0.00696237,0.281298,0.201151,0.0581242,-0.0686823,0.0804984
3038,0.135238,0.0118929,-0.00976801,0.0115018,0.00872989,0.245722,0.211162,0.0462937,-0.0681839,0.077126
3046,0.135238,0.0118929,-0.00976801,0.0115018,0.0103768,0.0581266,0.216163,0.0442364,-0.0401531,0.0480596
3054,0.135238,0.0118929,-0.00976801,0.0115018,0.00971492,-0.179554,0.19969,0.0226325,0.00059243,0.00147447
3062,0.135238,0.0118929,-0.00976801,0.0115018,0.00793706,-0.226576,0.195775,-0.0586389,0.00196173,-0.0192486
3070,0.135238,0.0118929,-0.00976801,0.0115018,0.00645516,-0.204467,0.178081,-0.0375494,0.00564781,-0.0179131
3078,0.135238,0.0118929,-0.00976801,0.0115018,0.00518204,0.013493,0.186734,0.0133737,-0.0244156,0.0248199
3085,0.135238,0.0118929,-0.00976801,0.0115018,0.00557758,0.157923,0.189676,0.0560668,-0.0445442,0.0554746
3094,0.135238,0.0118929,-0.00732601,0.0115018,0.00702529,0.286228,0.215617,0.03292,-0.0744994,0.0803838
3102,0.135238,0.0118929,-0.00732601,0.0115018,0.00850084,0.16365,0.212551,0.0483512,-0.0537387,0.0629113
3110,0.135238,0.0118929,-0.00732601,0.0115018,0.00975214,0.026285,0.219548,0.0473225,-0.033757,0.0422851
3118,0.135238,0.0118929,-0.00732601,0.0115018,0.00983883,-0.203001,0.198117,0.0144026,0.00401714,-0.00396324
3126,0.135238,0.0118929,-0.00976801,0.0115018,0.00845596,-0.197534,0.197121,-0.0483512,-0.00261346,-0.0121482
3134,0.135238,0.0118929,-0.00976801,0.0115018,0.00702266,-0.147845,0.182692,-0.0406358,-0.00570552,-0.00710569
3142,0.135317,0.0118615,-0.00732601,0.0115018,0.00628598,0.0869051,0.198256,-0.0133736,-0.0428696,0.0372038
3150,0.135317,0.0118515,-0.00732601,0.0115018,0.00716189,0.197762,0.199334,0.0534945,-0.054921,0.0653915
3157,0.135317,0.0118472,-0.00732601,0.0115018,0.00873506,0.267041,0.22049,0.014917,-0.0766345,0.0782378
3166,0.135317,0.0118453,-0.00976801,0.0115018,0.0102772,0.0815771,0.21394,0.0545232,-0.0424341,0.0528395
3174,0.135317,0.0118446,-0.00976801,0.0115018,0.0107192,-0.0619107,0.221063,0.0303481,-0.0230535,0.0273202
3182,0.135317,0.0118442,-0.00976801,0.0115018,0.00988611,-0.259355,0.199029,-0.0231466,0.00835055,-0.0173307
3190,0.135317,0.0118441,-0.00976801,0.0115018,0.00792534,-0.222718,0.198016,-0.0210893,0.00533979,-0.0137514
3198,0.135238,0.0118754,-0.00976801,0.0115018,0.00665545,-0.126397,0.187474,-0.037035,-0.00915302,-0.00274722
3206,0.135238,0.0118854,-0.00976801,0.0115018,0.00580912,0.163113,0.21112,-0.00411492,-0.0562865,0.0530338
3214,0.135238,0.0118897,-0.00976801,0.0115018,0.00747595,0.221477,0.213644,0.0714977,-0.0598345,0.0746328
