TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2517,0.15373,0.00122106,0.003663,-0.026869,0.0603938,0.148925,-0.0986353,-0.00422159,-0.0169668
2529,0.153889,0.00122106,0.003663,-0.0204873,0.0961247,0.119728,-0.154651,-0.0259479,0.00661465
2541,0.154841,0.00122106,0.00549451,-0.0759991,0.12916,0.0989669,-0.107597,-0.0367823,0.00644539
2553,0.154841,0.00122106,0.00549451,-0.0822691,0.102471,0.100902,-0.0158556,0.00683509,-0.0289735
2565,0.155873,0.00122106,0.003663,-0.0492417,0.144706,0.104783,-0.0620673,0.02234,-0.0265886
2577,0.156746,0.00122106,0.00549451,-0.00083409,0.318364,0.0887734,-0.0829219,-0.0108045,-0.00200023
2589,0.156746,0.00122106,0.00549451,0.00209584,0.400862,0.0565075,0.00028457,-0.0620494,0.0465696
2601,0.157619,0.00122106,0.00549451,-0.00024839,0.516755,0.0506904,0.0777737,-0.0607497,0.0615885
2613,0.157778,0.00122106,0.003663,-0.0108358,0.193554,0.0533184,0.0203725,-0.0613491,0.0778211
2625,0.157778,0.00122106,0.003663,0.0246682,0.0866519,0.0744167,0.0202141,-0.0308697,0.035064
2637,0.15873,0.00122106,0.003663,-0.00431548,0.0476903,0.108678,0.00128129,-0.0496852,0.0541813
2649,0.15881,0.00122106,0.003663,-0.0644067,-0.106439,0.114906,0.123745,-0.0304558,0.0307514
2661,0.15881,0.00122106,0.003663,-0.142462,-0.0427961,0.139023,0.0723403,0.0383264,-0.0159067
2673,0.158889,0.00122106,0.003663,-0.199252,-0.166785,0.140891,0.0370218,0.0822237,-0.0708241
2685,0.159921,0.00122106,0.003663,-0.00893222,0.139796,0.118386,-0.103938,0.112793,-0.112793
2697,0.159921,0.00122106,0.003663,0.177516,0.553834,0.0801354,-0.0385329,-0.0472088,0.027449
2709,0.16,0.00122106,0.003663,-0.00950591,0.573699,0.00786815,-0.077221,-0.112793,0.112793
2721,0.160079,0.00122106,0.00549451,-0.0588398,0.388946,0.0196596,0.0676416,-0.0726974,0.0588797
2733,0.160079,0.00122106,0.00549451,0.0475444,0.127219,0.0808018,-0.068921,-0.00715332,0.0198733
2745,0.16119,0.00122106,0.00549451,0.0261664,0.0607899,0.104366,0.043943,-0.0812554,0.068783
2757,0.162302,0.00122106,0.00549451,-0.0169122,0.0260102,0.0990759,0.0541844,-0.0515347,0.060324
2769,0.162302,0.00122106,0.00549451,-0.0568182,-0.0943643,0.119141,0.206624,-0.0154878,0.0253813
2781,0.163571,0.00122106,0.00549451,-0.0396464,-0.0656764,0.153899,0.121321,0.0372478,0.00101982
2793,0.164841,0.00122106,0.00549451,-0.176793,-0.0768745,0.148419,0.0379349,0.0097652,0.0125258
2805,0.164841,0.00122106,0.00549451,-0.110809,0.0471032,0.114656,-0.0358349,0.10436,-0.10062
2817,0.166587,0.00122106,0.00549451,-0.0233938,0.337873,0.11352,-0.00110456,0.040004,-0.0489901
2829,0.167619,0.00122106,0.00549451,0.0734494,0.603902,0.0580304,-0.0644128,-0.0488832,0.0491241
2841,0.167619,0.00122106,0.00549451,0.0914504,0.711558,0.0223371,-0.0481804,-0.112793,0.112793
2853,0.168571,0.00122106,0.00549451,0.0249089,0.344247,0.0222504,-0.0431693,-0.112793,0.112793
2865,0.169603,0.00122106,0.00549451,0.0783585,0.0876096,0.0558658,0.0932239,-0.0822566,0.0751118
2877,0.169603,0.00122106,0.00549451,0.137632,0.0338538,0.122235,0.135552,-0.0888078,0.108149
2889,0.171746,0.00122106,0.00549451,-5.654e-05,-0.295564,0.136405,0.077117,-0.112793,0.112793
2901,0.171905,0.00122106,0.00549451,0.0753154,-0.454362,0.158869,0.0731494,-0.00499666,0.0187451
2913,0.171905,0.00122106,0.00549451,0.247894,-0.538863,0.222227,0.172147,-0.049643,0.0635099
2925,0.172778,0.00122106,0.00549451,-0.148311,-0.586239,0.23063,0.026523,-0.112793,0.112793
