TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
1022,0.199683,-0.019572,-0.00695971,0.0153358,-0.0356225,0.0585323,0.224543,0.0185173,-0.023683,0.0244385
1030,0.199683,-0.019572,-0.00695971,0.0153358,-0.0355322,0.04028,0.224232,-0.00102885,-0.0223456,0.0184243
1037,0.199683,-0.019572,-0.00695971,0.0153358,-0.0351845,0.00337454,0.223202,-0.00102881,-0.015191,0.0111241
1046,0.199683,-0.019572,-0.0046398,0.0230037,-0.0351862,-0.00208755,0.215087,-7e-08,-0.013161,0.00750542
1054,0.199683,-0.019572,-0.0046398,0.0230037,-0.0350223,0.0123015,0.218724,-0.00360051,-0.0173732,0.0109328
1062,0.199603,-0.019596,-0.0046398,0.0230037,-0.035027,0.0362831,0.21015,-0.0154312,-0.0223047,0.0131747
1070,0.199603,-0.0196017,-0.0046398,0.0230037,-0.0345883,0.0901084,0.217659,0.0354922,-0.0292313,0.0323254
1078,0.199683,-0.0195802,-0.0046398,0.0230037,-0.0339504,0.0392138,0.207326,0.0174889,-0.0202544,0.0189081
1086,0.199683,-0.0195756,-0.0046398,0.0230037,-0.0337456,0.0502705,0.218883,-0.0216035,-0.0293009,0.0188
1094,0.199683,-0.0195735,-0.0046398,0.0230037,-0.0333443,-0.0215396,0.204503,-0.00154268,-0.0105746,0.00450676
1102,0.199683,-0.0195727,-0.0046398,0.0230037,-0.0338014,-0.00501879,0.210446,0.00720141,-0.0131588,0.00921136
1109,0.199683,-0.0195723,-0.0046398,0.0230037,-0.0338096,0.00830458,0.205464,0.0442362,-0.0107044,0.0155323
1118,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0336802,0.0492064,0.209126,0.0190317,-0.0231978,0.0222618
1126,0.199683,-0.0195721,-0.00695971,0.0230037,-0.033155,0.0453426,0.204923,0.0385782,-0.0202611,0.0239211
1134,0.199603,-0.019596,-0.00695971,0.0230037,-0.032783,0.0374821,0.207959,-0.00925859,-0.0254011,0.0177707
1142,0.199603,-0.0196018,-0.00695971,0.0230037,-0.0325283,0.00097617,0.196329,0.0102875,-0.0141742,0.0109989
1150,0.199683,-0.0195802,-0.00695971,0.0230037,-0.0325242,-0.00408629,0.197037,-0.00462922,-0.0149786,0.00826938
1158,0.199683,-0.0195756,-0.00695971,0.0230037,-0.0324658,-0.00182108,0.193089,0.02469,-0.0114389,0.0116439
1166,0.199683,-0.0195735,-0.00695971,0.0230037,-0.0324024,0.0392137,0.20043,-0.0190318,-0.0262495,0.0163293
1174,0.199683,-0.0195727,-0.00695971,0.0230037,-0.0321678,0.0369491,0.189193,0.00925891,-0.0210088,0.0177434
1181,0.199683,-0.0195723,-0.00695971,0.0230037,-0.0319959,0.0453429,0.192143,0.00874446,-0.0235341,0.0201859
1190,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0317099,0.00337492,0.18562,0.0133738,-0.0138123,0.0113855
1198,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0317465,-0.00142069,0.185779,-0.0195463,-0.0166712,0.00647108
1206,0.199603,-0.019596,-0.00695971,0.0230037,-0.0316691,0.012968,0.179863,-0.00720129,-0.017362,0.0101286
1214,0.199603,-0.0196018,-0.00695971,0.0230037,-0.031419,0.0529368,0.185354,0.026233,-0.0228891,0.0237001
1222,0.199683,-0.0195802,-0.00695971,0.0230037,-0.0310609,0.0385482,0.180642,0.0200607,-0.020445,0.0197483
1230,0.199683,-0.0195756,-0.00695971,0.0230037,-0.0308015,0.0686584,0.179218,-0.0144026,-0.0308209,0.0221358
1238,0.199683,-0.0195735,-0.00695971,0.0230037,-0.0302261,0.0501389,0.183507,-0.0210892,-0.0294283,0.0191039
1246,0.199683,-0.0195727,-0.00695971,0.0230037,-0.0298337,-0.00062111,0.171412,0.0493796,-0.00943298,0.0155001
1253,0.199683,-0.0195723,-0.00695971,0.0230037,-0.0298533,0.0172313,0.17549,0.00617234,-0.0187898,0.0147553
1262,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0295835,0.0360166,0.174827,-0.0216037,-0.0262129,0.0157188
1270,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0293065,0.0286887,0.177649,-0.0354916,-0.0272456,0.0134565
1278,0.199683,-0.019572,-0.00695971,0.0230037,-0.029186,0.024159,0.173967,0.00514383,-0.0211363,0.0168998
1286,0.199683,-0.019572,-0.00695971,0.0230037,-0.0290358,0.0173642,0.17202,0.0396065,-0.0156182,0.0194723
1294,0.199603,-0.019596,-0.00695971,0.0230037,-0.0288979,0.00044373,0.175791,-0.036006,-0.0219227,0.00790373
1302,0.199603,-0.0196017,-0.00695971,0.0230037,-0.0289245,-0.0080832,0.165746,0.00154315,-0.0141042,0.00889044
1310,0.199683,-0.0195802,-0.00695971,0.0230037,-0.0289936,-0.00315311,0.169393,0.00668681,-0.014952,0.0109691
1318,0.199683,-0.0195756,-0.00695971,0.0230037,-0.0290982,0.0116356,0.164898,0.0241757,-0.0150142,0.0152078
1325,0.199683,-0.0195735,-0.00695971,0.0230037,-0.0290208,0.0337511,0.169285,-0.0118304,-0.0245965,0.0164037
1334,0.199683,-0.0195727,-0.00695971,0.0230037,-0.0287891,0.0201626,0.164188,0.03292,-0.0160981,0.0183915
1342,0.199683,-0.0195723,-0.00695971,0.0230037,-0.0287145,-0.0203409,0.157518,0.0221184,-0.00813059,0.0077133
1350,0.199603,-0.0195961,-0.00695971,0.0230037,-0.0289078,0.0278894,0.164811,-0.0138876,-0.023131,0.0144309
1358,0.199603,-0.0196018,-0.00695971,0.0230037,-0.028655,-0.00182092,0.1538,0.0334343,-0.0101231,0.0124476
1366,0.199603,-0.0196042,-0.00695971,0.0230037,-0.0287153,0.0340181,0.16089,-0.0113159,-0.0237622,0.0156956
1374,0.199603,-0.0196053,-0.00695971,0.0230037,-0.0283472,0.0210947,0.158308,0.0164601,-0.0180233,0.0164512
1382,0.199603,-0.0196057,-0.00695971,0.0230037,-0.0283023,0.00857042,0.150314,0.0524665,-0.0100073,0.0168624
1390,0.199603,-0.0196059,-0.00695971,0.0230037,-0.0283016,0.0325524,0.155785,-0.00874413,-0.0229911,0.0155304
1397,0.199603,-0.019606,-0.00695971,0.0230037,-0.028026,-0.00341949,0.150773,0.0005144,-0.0141802,0.00875598
1406,0.199603,-0.019606,-0.00695971,0.0230037,-0.0280861,0.0214941,0.147455,0.0174888,-0.016639,0.0153128
1414,0.199603,-0.019606,-0.00695971,0.0230037,-0.0278749,0.0341516,0.150587,-0.00874456,-0.0231511,0.0157034
1422,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0276865,0.0149663,0.146918,0.0190318,-0.014769,0.0155925
1430,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0276189,0.0360165,0.148128,0.0390926,-0.0170126,0.0226485
1438,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0273507,0.0181651,0.14677,-0.0241754,-0.021011,0.011678
1446,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0272601,-0.00088816,0.139822,-0.00257183,-0.0135964,0.00927287
1454,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0272651,0.0353502,0.145169,0.00617247,-0.0208282,0.0187141
1462,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0270389,0.0180306,0.143154,0.00617252,-0.0173228,0.0151413
1469,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0269762,0.0204295,0.138647,0.00411519,-0.0174231,0.0147668
1478,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0268078,0.0400134,0.143293,-0.0118306,-0.0243178,0.0179909
1486,0.199603,-0.0196061,-0.00695971,0.0153358,-0.0265909,0.013368,0.138641,0.0349777,-0.0129617,0.017552
1494,0.199683,-0.0195821,-0.00695971,0.0153358,-0.0264656,0.0278893,0.138428,-0.0102876,-0.0213757,0.0153671
1502,0.199683,-0.0195763,-0.00695971,0.0153358,-0.0262632,0.0214944,0.138344,-1e-08,-0.0191579,0.0155493
1510,0.199603,-0.0195979,-0.00695971,0.0230037,-0.0261597,0.00763844,0.139238,0.0308626,-0.0139442,0.0157438
1518,0.199603,-0.0196025,-0.00695971,0.0230037,-0.0261406,0.0101698,0.134043,0.0108019,-0.0160154,0.0130999
1526,0.199603,-0.0196045,-0.00695971,0.0230037,-0.026064,0.0368161,0.135785,0.0164601,-0.021199,0.0197275
1534,0.199603,-0.0196054,-0.00695971,0.0230037,-0.0256969,0.0233597,0.135822,-0.00205718,-0.0212173,0.0153362
1541,0.199603,-0.0196058,-0.00695971,0.0230037,-0.0256558,0.0144334,0.131505,0.0195465,-0.0162198,0.0153896
1550,0.199603,-0.019606,-0.00695971,0.0230037,-0.0255584,0.00563985,0.131943,0.0262331,-0.0138633,0.0145737
1558,0.199603,-0.019606,-0.00695971,0.0230037,-0.025604,-0.00994836,0.127903,0.0354919,-0.00886392,0.0116889
1566,0.199603,-0.019606,-0.00695971,0.0230037,-0.0254863,0.0278892,0.130267,-0.00874376,-0.0223624,0.0149277
1574,0.199603,-0.0196061,-0.00695971,0.0230037,-0.0253521,0.0182968,0.124953,0.0370349,-0.0143716,0.0176798
1582,0.199603,-0.0196061,-0.00695971,0.0230037,-0.0253318,0.0293552,0.128728,0.0385782,-0.0170928,0.0208112
1590,0.199603,-0.0196061,-0.00695971,0.0230037,-0.0250942,-0.00075639,0.119016,-0.00411471,-0.014765,0.00830705
1598,0.199603,-0.0196061,-0.00927961,0.0153358,-0.0250851,0.0309539,0.120556,0.0524664,-0.0143266,0.0231313
1606,0.199603,-0.0196061,-0.00927961,0.0153358,-0.0246545,0.0165651,0.121031,0.0421789,-0.0133573,0.0196881
1613,0.199603,-0.0196061,-0.00927961,0.0153358,-0.0246468,0.0416106,0.124998,-0.0216032,-0.0266274,0.0180409
1622,0.199683,-0.0195821,-0.00695971,0.0153358,-0.0243592,0.0044404,0.116419,0.0385781,-0.0106097,0.0160459
1630,0.199683,-0.0195763,-0.00695971,0.0153358,-0.0243624,0.012168,0.116979,0.0766418,-0.00778927,0.0222215
1638,0.199603,-0.0195979,-0.00695971,0.0153358,-0.0243118,-0.00142085,0.115804,0.0144028,-0.0122566,0.0119761
1646,0.199603,-0.0196025,-0.00695971,0.0153358,-0.0243841,0.0472076,0.120026,0.0005148,-0.024398,0.0210464
1654,0.199603,-0.0196045,-0.00695971,0.0153358,-0.0240456,0.00790462,0.11066,0.0750987,-0.00662232,0.0206783
1662,0.199603,-0.0196054,-0.00695971,0.0153358,-0.024133,0.0248243,0.116632,0.0385783,-0.0152031,0.0207277
1670,0.199603,-0.0196058,-0.00695971,0.0230037,-0.024001,0.00071046,0.110771,0.00925883,-0.0138871,0.0106027
1678,0.199603,-0.019606,-0.00695971,0.0230037,-0.0240069,0.0426783,0.113371,-0.00154295,-0.0241405,0.0184851
1685,0.199603,-0.019606,-0.00695971,0.0230037,-0.0237655,0.0140334,0.107308,0.0771559,-0.00843644,0.0212005
1694,0.199683,-0.0195821,-0.00695971,0.0230037,-0.0236805,0.029755,0.108258,0.0704694,-0.0126847,0.0239401
1702,0.199683,-0.0195763,-0.00695971,0.0230037,-0.0234109,0.0432115,0.107146,-0.00411501,-0.0244412,0.0181911
1710,0.199683,-0.0195739,-0.00695971,0.0153358,-0.023071,0.0238924,0.10467,0.023147,-0.0165211,0.0184235
1718,0.199683,-0.0195728,-0.00695971,0.0153358,-0.0230173,0.0154981,0.106845,0.0879577,-0.00762202,0.0247549
1726,0.199683,-0.0195724,-0.00695971,0.0153358,-0.0229672,0.0104361,0.104137,0.0442365,-0.0113683,0.0181838
1734,0.199683,-0.0195722,-0.00695971,0.0153358,-0.0228832,0.0405464,0.104105,-0.0118303,-0.0242393,0.0179758
1742,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0226344,0.030554,0.102685,0.00823016,-0.0209049,0.0175231
1750,0.199683,-0.0195721,-0.00695971,0.0230037,-0.0225226,0.0152321,0.100689,0.123449,-0.00408059,0.0277726
1757,0.199683,-0.019572,-0.00695971,0.0230037,-0.0224545,0.0286885,0.09907,0.0293198,-0.0177428,0.0193226
1766,0.199683,-0.019572,-0.00695971,0.0230037,-0.0222311,0.0402806,0.0978226,-0.04938,-0.0295163,0.0126129
1774,0.199683,-0.019572,-0.00695971,0.0230037,-0.0219418,0.0236259,0.0976275,0.00925872,-0.0196462,0.0164896
1782,0.199683,-0.019572,-0.00695971,0.0230037,-0.0220522,0.00630626,0.0959289,0.0817852,-0.00713,0.0209804
1790,0.199683,-0.019572,-0.00695971,0.0230037,-0.0221018,0.0217602,0.0928736,0.0879581,-0.00898689,0.0243529
1798,0.199683,-0.019572,-0.00695971,0.0230037,-0.0218856,0.0621285,0.0951043,-0.0432072,-0.0333601,0.0180059
1806,0.199683,-0.019572,-0.00695971,0.0230037,-0.0214235,0.0218941,0.0935793,-0.043207,-0.0256266,0.0101152
1814,0.199683,-0.019572,-0.00695971,0.0230037,-0.0215678,0.00737076,0.0928427,0.0931014,-0.00628428,0.0228122
