TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2469,0.138175,0.00122106,0.20696,0.106662,0.37266,0.114855,0.15128,-0.0359299,0.0388109
2481,0.138175,0.00122106,0.20696,0.0446425,0.530999,0.0677717,0.0971221,-0.112793,0.112793
2493,0.138175,0.00122106,0.228938,-0.0600634,0.377181,0.0533607,0.162019,-0.101066,0.0781366
2505,0.138175,0.00122106,0.261905,-0.0229528,0.111386,0.0895878,0.265614,-0.0113594,-0.00756297
2517,0.138175,0.00122106,0.261905,0.0895065,-0.0363589,0.132853,0.216383,-0.00853359,0.00955285
2529,0.138175,0.00122106,0.265568,0.0627835,0.0218333,0.120047,0.275275,-0.0835318,0.0758064
2541,0.138175,0.00122106,0.291209,-0.0559302,0.0457618,0.112551,0.262603,-0.0653612,0.0637743
2553,0.138175,0.00122106,0.291209,-0.0978152,-0.0605047,0.140329,0.419599,0.0143476,-0.0202507
2565,0.138175,0.00122106,0.320513,0.122666,-0.112239,0.171626,0.30202,0.0618479,-0.0439841
2577,0.138175,0.00122106,0.349817,0.108931,0.125372,0.157195,0.245875,-0.10385,0.0967927
2589,0.138175,0.00122106,0.349817,-0.0193858,0.256771,0.0894434,0.221926,-0.112793,0.100552
2601,0.138175,0.00122106,0.379121,-0.110759,-0.00546712,0.101975,0.298212,-0.0386505,0.00903318
2613,0.138175,0.00122106,0.40293,0.0823475,-0.12932,0.166309,0.309031,0.0501655,-0.0718428
2625,0.138175,0.00122106,0.40293,0.0743698,-0.0838938,0.17315,0.253041,-0.0784918,0.0618071
2637,0.138175,0.00122106,0.424908,0.0579173,0.150702,0.118588,0.241261,-0.0849691,0.0532245
2649,0.138175,0.00122106,0.428571,-0.191293,-0.00511971,0.118639,0.452746,-0.0891657,0.0547303
2661,0.138175,0.00122106,0.428571,0.0267671,-0.124199,0.158069,0.43238,0.112793,-0.112793
2673,0.138175,0.00122106,0.428571,0.114188,-0.0654013,0.18651,0.448184,-0.0301315,0.0314394
2685,0.138175,0.00122106,0.430403,0.023318,0.208515,0.121017,0.418181,-0.0969182,0.102571
2697,0.138175,0.00122106,0.430403,-0.251244,0.197621,0.0875606,0.494023,-0.0531958,0.0522297
2709,0.138175,0.00122106,0.434066,0.0193888,0.0596898,0.130189,0.544983,0.112793,-0.112793
2721,0.138175,0.00122106,0.434066,0.102121,0.0897256,0.168403,0.451222,-0.0270934,0.0494647
2733,0.138175,0.00122106,0.434066,0.0564749,0.4592,0.0988956,0.412198,-0.0996837,0.10543
2745,0.138175,0.00122106,0.437729,-0.135566,0.313072,0.0677669,0.42883,-0.0960113,0.0936842
2757,0.138175,0.00122106,0.437729,-0.0619736,0.163631,0.111514,0.496898,0.0536611,-0.0563642
2769,0.138175,0.00122106,0.437729,0.0525489,0.0238086,0.154719,0.443995,0.0174297,-0.00611951
2781,0.138175,0.00122106,0.441392,0.131968,0.284065,0.122753,0.40987,-0.0600028,0.0619143
2793,0.138175,0.00122106,0.465201,-0.0448302,0.405198,0.0841079,0.336301,-0.112793,0.112793
2805,0.138175,0.00122106,0.465201,-0.0605743,0.342125,0.0985415,0.445368,-0.0300285,0.00588826
2817,0.138175,0.00122106,0.465201,0.0172479,0.156104,0.149497,0.416011,-0.00471118,0.00125507
2829,0.138175,0.00122106,0.467033,0.1466,0.190204,0.151479,0.417025,-0.0512019,0.0425442
2841,0.138175,0.00122106,0.467033,0.0563932,0.198129,0.123512,0.350784,-0.112793,0.112793
2853,0.138175,0.00122106,0.496337,-0.119096,0.122213,0.11971,0.469902,-0.0884463,0.0622081
2865,0.138175,0.00122106,0.523809,-0.0333096,-0.0213759,0.167227,0.446769,0.0486069,-0.0601876
2877,0.138175,0.00122106,0.523809,0.0774565,-0.0631147,0.206618,0.492711,-0.00578633,-0.00919434
2889,0.138175,0.00122106,0.554945,0.10166,0.22757,0.170992,0.40094,-0.0814108,0.0710471
2901,0.138175,-0.001221,0.584249,-0.153678,0.260147,0.126922,0.498149,-0.112793,0.0981229
2913,0.138175,-0.001221,0.584249,-0.0149029,0.173744,0.145546,0.581728,0.0570841,-0.07503
2925,0.138175,-0.001221,0.584249,0.232763,0.136972,0.201905,0.515237,-0.0255365,0.0257855
2937,0.138175,-0.001221,0.580586,0.0381068,0.411585,0.157096,0.492124,-0.112793,0.112793
2949,0.138175,-0.001221,0.580586,-0.141664,0.385526,0.116519,0.510611,-0.0913695,0.0765681
2961,0.138175,-0.001221,0.578755,0.00326006,0.236856,0.15633,0.601373,0.0411633,-0.055103
2973,0.138175,-0.001221,0.576923,0.220316,0.240142,0.203121,0.517529,-0.0417505,0.0477135
2985,0.138175,-0.001221,0.576923,0.111497,0.450438,0.156065,0.478203,-0.112793,0.112793
